derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,applicant_age,income,debt_to_income_ratio,applicant_ethnicity_observed,applicant_race_observed,applicant_sex_observed,denial_reason_1
Not Hispanic or Latino,White,Male,1,55000,6.25,105000,65-74,27.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,125000,6.875,125000,45-54,55.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,6.25,185000,25-34,98.0,43.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,115000,6.0,115000,55-64,42.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,345000,6.5,355000,25-34,89.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,135000,6.625,155000,25-34,59.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,135000,5.75,135000,25-34,46.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,6.125,245000,35-44,95.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,5.75,115000,25-34,49.0,24.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,6.5,145000,25-34,31.0,60.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,215000,6.5,235000,25-34,65.0,42.0,2,2,2,10
Hispanic or Latino,White,Male,1,175000,6.125,195000,25-34,65.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,95000,7.25,145000,25-34,53.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,7.5,145000,25-34,92.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,265000,6.5,305000,25-34,103.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,265000,6.25,335000,35-44,143.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,6.125,205000,55-64,76.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,115000,6.125,145000,25-34,53.0,21.0,2,2,2,10
Hispanic or Latino,White,Male,1,295000,6.875,375000,<25,121.0,21.0,2,2,2,10
Hispanic or Latino,White,Male,1,45000,6.125,45000,<25,28.0,26.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,475000,5.875,525000,35-44,140.0,53.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,165000,6.875,215000,45-54,221.0,23.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,115000,7.5,125000,25-34,32.0,50.0,2,2,2,10
Hispanic or Latino,White,Male,1,265000,6.75,295000,25-34,112.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,6.625,145000,25-34,33.0,46.0,2,2,2,10
Hispanic or Latino,White,Male,1,165000,6.5,205000,55-64,58.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,75000,7.75,95000,25-34,103.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,515000,6.125,645000,35-44,300.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,135000,6.625,145000,45-54,59.0,34.0,2,2,2,10
Hispanic or Latino,White,Male,1,155000,7.75,175000,35-44,182.0,60.0,2,2,2,10
Hispanic or Latino,White,Male,1,795000,7.125,875000,25-34,82.0,55.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,165000,7.875,165000,25-34,57.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,125000,7.625,155000,65-74,52.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,45000,8.25,55000,45-54,46.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,135000,7.125,155000,55-64,56.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,75000,7.125,115000,<25,37.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,7.25,155000,55-64,51.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,365000,6.5,405000,55-64,96.0,55.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,85000,8.875,95000,25-34,30.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,115000,7.375,125000,<25,44.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,95000,7.875,95000,35-44,91.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,7.5,235000,35-44,80.0,50.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,245000,7.99,285000,35-44,262.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,335000,6.75,735000,25-34,125.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,415000,6.75,465000,25-34,129.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,795000,6.375,995000,25-34,146.0,49.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,595000,6.375,835000,35-44,173.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,375000,6.5,475000,25-34,129.0,44.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,275000,6.125,295000,45-54,182.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,255000,6.125,365000,65-74,56.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,135000,6.375,165000,35-44,48.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,5.75,445000,>74,62.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,405000,6.5,455000,45-54,106.0,46.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,605000,6.99,755000,35-44,197.0,47.0,2,2,2,10
Hispanic or Latino,White,Female,1,515000,7.25,745000,55-64,149.0,42.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,215000,5.875,235000,45-54,125.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,455000,6.125,565000,25-34,169.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,185000,6.624,235000,65-74,49.0,49.0,2,2,2,10
Hispanic or Latino,White,Male,1,455000,6.25,465000,35-44,133.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,555000,6.99,725000,35-44,164.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,205000,5.75,575000,55-64,122.0,44.0,2,2,2,10
Hispanic or Latino,White,Female,1,715000,6.875,785000,25-34,161.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,545000,6.5,705000,45-54,239.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,925000,6.25,1585000,25-34,209.0,41.0,2,2,2,10
Hispanic or Latino,White,Male,1,525000,7.125,655000,45-54,120.0,48.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,295000,5.99,335000,45-54,145.0,19.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,545000,6.375,675000,25-34,125.0,39.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,245000,6.875,305000,65-74,76.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.75,765000,45-54,131.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,135000,5.875,505000,25-34,47.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,135000,6.5,175000,45-54,101.0,25.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,225000,6.625,295000,65-74,218.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,495000,6.0,705000,25-34,121.0,49.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,595000,6.375,615000,45-54,129.0,44.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,225000,7.625,255000,35-44,77.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,395000,6.125,415000,35-44,81.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,115000,6.75,165000,25-34,77.0,23.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,665000,6.875,835000,35-44,248.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,505000,6.875,885000,45-54,139.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,325000,7.5,405000,35-44,111.0,48.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,205000,6.25,255000,65-74,86.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,435000,7.125,455000,35-44,149.0,47.0,2,2,2,10
Hispanic or Latino,White,Female,1,155000,7.125,365000,55-64,78.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,185000,7.0,235000,35-44,111.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,305000,7.25,355000,45-54,126.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,425000,6.625,495000,35-44,111.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,325000,6.875,365000,35-44,126.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,175000,6.75,225000,25-34,72.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,7.0,275000,25-34,107.0,28.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.5,325000,25-34,125.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,175000,6.0,345000,55-64,88.0,19.0,2,2,2,10
Hispanic or Latino,White,Male,1,395000,6.5,445000,<25,89.0,48.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,325000,8.625,365000,25-34,106.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,145000,7.375,165000,25-34,62.0,21.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,205000,6.375,255000,35-44,86.0,25.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,6.625,385000,45-54,101.0,45.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,205000,6.875,275000,45-54,100.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,6.49,175000,55-64,41.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,135000,7.75,145000,25-34,62.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,205000,6.0,265000,35-44,85.0,23.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,305000,7.49,375000,<25,77.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,535000,7.5,795000,35-44,250.0,49.0,2,2,2,10
Hispanic or Latino,White,Male,1,125000,6.625,385000,35-44,87.0,35.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,395000,7.625,415000,45-54,340.0,44.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,275000,7.5,345000,>74,131.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,365000,7.375,405000,<25,107.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,7.125,255000,45-54,80.0,5.0,2,2,2,10
Not Hispanic or Latino,White,Male,3,195000,Exempt,Exempt,55-64,48.0,,2,2,2,3
Not Hispanic or Latino,White,Female,3,45000,Exempt,Exempt,<25,12.0,,2,2,2,1
Not Hispanic or Latino,White,Female,3,65000,Exempt,Exempt,55-64,26.0,,2,2,2,9
Not Hispanic or Latino,White,Male,3,65000,Exempt,Exempt,25-34,46.0,,2,2,2,5
Not Hispanic or Latino,White,Male,3,195000,Exempt,Exempt,55-64,88.0,,2,2,2,1111
Not Hispanic or Latino,White,Female,1,215000,6.49,245000,25-34,67.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,265000,6.49,335000,55-64,69.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,355000,6.0,445000,25-34,103.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,525000,6.125,655000,65-74,240.0,29.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1285000,5.95,1875000,55-64,400.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,295000,6.125,495000,25-34,89.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,715000,6.75,1055000,45-54,176.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,6.0,235000,25-34,62.0,29.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,465000,5.99,615000,35-44,228.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,445000,7.125,565000,25-34,337.0,26.0,2,2,2,10
Hispanic or Latino,White,Male,1,615000,6.625,805000,35-44,143.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,445000,6.625,475000,45-54,177.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,7.25,265000,45-54,170.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,275000,5.99,345000,55-64,59.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.625,875000,25-34,125.0,22.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,2315000,6.875,3305000,45-54,643.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,185000,7.375,245000,55-64,81.0,25.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,6.49,325000,55-64,40.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,315000,6.875,395000,35-44,76.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,205000,6.625,215000,35-44,90.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,725000,6.125,1075000,35-44,200.0,46.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,205000,6.0,255000,25-34,54.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,235000,7.5,405000,65-74,175.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1005000,7.5,2005000,55-64,350.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,575000,7.25,1205000,55-64,143.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,565000,7.25,935000,55-64,145.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,955000,7.375,1195000,65-74,202.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,365000,7.25,825000,35-44,84.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,555000,6.99,895000,45-54,156.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,335000,6.125,485000,45-54,105.0,29.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,315000,6.99,425000,55-64,153.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,425000,6.625,675000,55-64,135.0,21.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.99,275000,<25,121.0,29.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,305000,7.25,615000,<25,1316.0,18.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,845000,7.75,1125000,65-74,197.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,85000,8.0,265000,35-44,36.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,185000,7.875,255000,65-74,86.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,485000,7.625,625000,35-44,140.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,8.375,255000,25-34,67.0,34.0,2,2,2,10
Hispanic or Latino,White,Male,1,395000,7.125,465000,35-44,85.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,755000,7.5,1295000,45-54,220.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,605000,7.625,755000,55-64,247.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,555000,7.625,755000,65-74,200.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,445000,7.625,555000,35-44,189.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,165000,6.625,265000,25-34,73.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,315000,7.125,395000,55-64,149.0,25.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,675000,6.875,995000,>74,201.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1305000,8.25,1625000,35-44,1012.0,23.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,605000,7.75,835000,45-54,1599.0,11.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,595000,8.0,745000,65-74,141.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,8.25,365000,65-74,196.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,6.875,335000,45-54,77.0,24.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,305000,8.0,605000,25-34,76.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,725000,7.5,935000,45-54,300.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,6.95,395000,55-64,120.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,555000,8.0,1105000,25-34,302.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,385000,8.0,485000,55-64,184.0,23.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,225000,6.5,425000,55-64,162.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,135000,8.0,255000,55-64,50.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,7.624,275000,55-64,79.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,505000,8.0,1555000,45-54,260.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,1285000,8.25,1605000,65-74,658.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,7.25,535000,35-44,84.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,485000,8.25,605000,25-34,410.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1045000,8.0,1675000,65-74,510.0,29.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,3,385000,Exempt,Exempt,45-54,89.0,,2,2,2,1111
Not Hispanic or Latino,White,Male,3,155000,Exempt,Exempt,55-64,27.0,,1,1,1,1111
Not Hispanic or Latino,White,Male,1,395000,5.9,565000,35-44,161.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,3,205000,Exempt,Exempt,>74,13.0,,2,2,2,1111
Not Hispanic or Latino,White,Male,1,285000,6.15,355000,25-34,135.0,26.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,705000,6.1,1075000,45-54,134.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.15,345000,45-54,169.0,30.0,1,1,1,10
Not Hispanic or Latino,White,Male,1,125000,6.15,525000,25-34,217.0,16.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,385000,6.15,785000,45-54,321.0,29.0,1,1,1,10
Not Hispanic or Latino,White,Female,1,225000,6.15,285000,65-74,105.0,28.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,355000,4.95,2755000,45-54,303.0,20.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,175000,4.8,335000,35-44,77.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,595000,5.0,945000,25-34,277.0,20.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,245000,5.4,715000,35-44,69.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,425000,6.8,485000,25-34,121.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,275000,5.25,475000,45-54,181.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,795000,5.6,1055000,55-64,515.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,625000,6.1,775000,35-44,182.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,585000,6.15,725000,25-34,183.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,585000,6.15,735000,35-44,217.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,365000,6.75,535000,45-54,166.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,555000,6.1,855000,25-34,193.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,355000,5.25,445000,25-34,121.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,545000,5.9,605000,35-44,150.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,305000,5.35,605000,55-64,152.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.15,315000,45-54,108.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,415000,7.125,515000,45-54,313.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,105000,6.625,395000,65-74,62.0,38.0,2,2,2,10
Not Hispanic or Latino,2 or more minority races,Male,1,325000,6.5,465000,45-54,268.0,37.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,305000,7.0,575000,55-64,119.0,42.0,2,2,2,10
Hispanic or Latino,American Indian or Alaska Native,Female,1,585000,7.25,625000,35-44,150.0,42.0,2,2,2,10
Hispanic or Latino,White,Female,1,405000,6.0,505000,25-34,86.0,56.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,505000,6.625,635000,25-34,166.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,225000,7.375,285000,35-44,118.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,415000,7.375,515000,25-34,92.0,46.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,535000,7.875,825000,25-34,144.0,46.0,2,2,2,10
